赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502142.0,1864.0,2018/11/20 03:45,638.0,630.0,,,欧国联,UEFA  NL,12_丹麦,Denmark,32_爱尔兰,Ireland,0.0,0.0,,,,,
1502141.0,1864.0,2018/11/17 03:45,7384.0,638.0,,,欧国联,UEFA  NL,19_威尔士,Wales,12_丹麦,Denmark,0.0,0.0,,,,,
1502139.0,1864.0,2018/10/14 02:45,630.0,638.0,,,欧国联,UEFA  NL,32_爱尔兰,Ireland,12_丹麦,Denmark,0.0,0.0,,,,,
1502138.0,1864.0,2018/09/09 23:59,638.0,7384.0,,,欧国联,UEFA  NL,12_丹麦,Denmark,19_威尔士,Wales,0.0,0.0,,,,,
1483049.0,75.0,2018/07/02 02:00,768.0,638.0,,,世界杯,World Cup,15_克罗地亚,Croatia,12_丹麦,Denmark,0.0,0.0,,,,,
1482840.0,75.0,2018/06/26 22:00,638.0,649.0,0-0,0-0,世界杯,World Cup,12_丹麦,Denmark,9_法国,France,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1482838.0,75.0,2018/06/21 20:00,638.0,913.0,1-1,1-1,世界杯,World Cup,12_丹麦,Denmark,36_澳大利亚,Australia,0.0,0.0,,半球/一球|0.5/1,输,小,平
1482836.0,75.0,2018/06/16 23:59,774.0,638.0,0-1,0-0,世界杯,World Cup,11_秘鲁,Peru,12_丹麦,Denmark,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1548416.0,1366.0,2018/06/10 02:00,638.0,819.0,2-0,0-0,国际友谊,INT FRL,12_丹麦,Denmark,17_墨西哥,Mexico,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1543776.0,1366.0,2018/06/03 01:45,644.0,638.0,0-0,0-0,国际友谊,INT FRL,18_瑞典,Sweden,12_丹麦,Denmark,0.0,0.0,,平手|0,走,小,平
1521492.0,1366.0,2018/03/28 02:00,638.0,780.0,0-0,0-0,国际友谊,INT FRL,12_丹麦,Denmark,10_智利,Chile,0.0,0.0,,平手/半球|0/0.5,输,小,平
1518983.0,1366.0,2018/03/23 03:00,638.0,798.0,1-0,0-0,国际友谊,INT FRL,12_丹麦,Denmark,53_巴拿马,Panama,0.0,1.0,,一球/球半|1/1.5,输,小,胜
1493358.0,1366.0,2018/01/15 21:00,881.0,638.0,3-2,1-0,国际友谊,INT FRL,113_约旦,Jordan,12_丹麦,Denmark,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1490680.0,1366.0,2018/01/12 00:45,644.0,638.0,1-0,0-0,国际友谊,INT FRL,18_瑞典,Sweden,12_丹麦,Denmark,0.0,0.0,,平手|0,输,小,负
1472472.0,650.0,2017/11/15 03:45,630.0,638.0,1-5,1-2,欧洲预选,WCPEU,32_爱尔兰,Ireland,12_丹麦,Denmark,0.0,0.0,,平手|0,赢,大,胜
1472350.0,650.0,2017/11/12 03:45,638.0,630.0,0-0,0-0,欧洲预选,WCPEU,12_丹麦,Denmark,32_爱尔兰,Ireland,0.0,0.0,,半球|0.5,输,小,平
1198528.0,650.0,2017/10/08 23:59,638.0,635.0,1-1,0-0,欧洲预选,WCPEU,12_丹麦,Denmark,40_罗马尼亚,Romania,0.0,1.0,,一球/球半|1/1.5,输,小,平
1198525.0,650.0,2017/10/06 02:45,5282.0,638.0,0-1,0-1,欧洲预选,WCPEU,46_黑山,Montenegro,12_丹麦,Denmark,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1198521.0,650.0,2017/09/04 23:59,748.0,638.0,1-4,1-2,欧洲预选,WCPEU,90_阿美尼亚,Armenia,12_丹麦,Denmark,0.0,0.0,,受让一球|-1,赢,大,胜
1198519.0,650.0,2017/09/02 02:45,638.0,637.0,4-0,2-0,欧洲预选,WCPEU,12_丹麦,Denmark,7_波兰,Poland,0.0,0.0,,平手|0,赢,大,胜
1198515.0,650.0,2017/06/10 23:59,763.0,638.0,1-3,0-1,欧洲预选,WCPEU,135_哈萨克斯坦,Kazakhstan,12_丹麦,Denmark,1.0,0.0,,受让一球|-1,赢,大,胜
1390582.0,1366.0,2017/06/07 02:45,638.0,650.0,1-1,1-0,国际友谊,INT FRL,12_丹麦,Denmark,1_德国,Germany,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,平
1198514.0,650.0,2017/03/27 02:45,635.0,638.0,0-0,0-0,欧洲预选,WCPEU,40_罗马尼亚,Romania,12_丹麦,Denmark,0.0,0.0,,平手|0,走,小,平
1328252.0,1366.0,2016/11/16 03:30,747.0,638.0,1-1,1-1,国际友谊,INT FRL,48_捷克,Czech,12_丹麦,Denmark,0.0,0.0,,平手|0,走,小,平
1198511.0,650.0,2016/11/12 03:45,638.0,763.0,4-1,2-1,欧洲预选,WCPEU,12_丹麦,Denmark,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,球半|1.5,赢,大,胜
1198507.0,650.0,2016/10/12 02:45,638.0,5282.0,0-1,0-1,欧洲预选,WCPEU,12_丹麦,Denmark,46_黑山,Montenegro,0.0,0.0,,半球/一球|0.5/1,输,小,负
1198505.0,650.0,2016/10/09 02:45,637.0,638.0,3-2,2-0,欧洲预选,WCPEU,7_波兰,Poland,12_丹麦,Denmark,0.0,0.0,,半球|0.5,输,大,负
