赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1543756.0,1366.0,2018/06/03 08:30,794.0,796.0,0-1,0-1,国际友谊,INT FRL,67_洪都拉斯,Honduras,90_萨尔瓦多,El Salvador,0.0,0.0,,平手/半球|0/0.5,输,小,负
1543730.0,1366.0,2018/05/28 19:00,898.0,794.0,2-0,0-0,国际友谊,INT FRL,59_韩国,Korea Republic,67_洪都拉斯,Honduras,0.0,0.0,,半球/一球|0.5/1,输,小,负
1470788.0,892.0,2017/11/15 17:00,913.0,794.0,3-1,0-0,世界杯附,WCP-PO,36_澳大利亚,Australia,67_洪都拉斯,Honduras,0.0,0.0,,半球/一球|0.5/1,输,大,负
1470498.0,892.0,2017/11/11 06:00,794.0,913.0,0-0,0-0,世界杯附,WCP-PO,67_洪都拉斯,Honduras,36_澳大利亚,Australia,0.0,0.0,,平手/半球|0/0.5,输,小,平
1327140.0,653.0,2017/10/11 08:00,794.0,819.0,3-2,1-2,北美预选,WCPCA,67_洪都拉斯,Honduras,17_墨西哥,Mexico,0.0,0.0,,平手|0,赢,大,胜
1327144.0,653.0,2017/10/08 06:00,914.0,794.0,1-1,0-0,北美预选,WCPCA,27_哥斯达黎加,Costa Rica,67_洪都拉斯,Honduras,0.0,0.0,,半球/一球|0.5/1,赢,走,平
1327148.0,653.0,2017/09/06 05:35,794.0,797.0,1-1,1-0,北美预选,WCPCA,67_洪都拉斯,Honduras,25_美国,USA,1.0,0.0,,受让平手/半球|-0/-0.5,赢,走,平
1327150.0,653.0,2017/09/02 08:00,912.0,794.0,1-2,0-2,北美预选,WCPCA,80_特立尼达和多巴哥,Trinidad   Tobago,67_洪都拉斯,Honduras,1.0,1.0,,平手|0,赢,大,胜
1420194.0,232.0,2017/07/21 10:30,819.0,794.0,1-0,1-0,美金杯,CGC,17_墨西哥,Mexico,67_洪都拉斯,Honduras,0.0,0.0,,一球|1,走,小,负
1406480.0,232.0,2017/07/15 10:00,795.0,794.0,0-0,0-0,美金杯,CGC,95_加拿大,Canada,67_洪都拉斯,Honduras,0.0,0.0,,平手|0,走,小,平
1406479.0,232.0,2017/07/12 10:00,794.0,20412.0,3-0,0-0,美金杯,CGC,67_洪都拉斯,Honduras,220_弱鸡,French Guiana,0.0,0.0,,一球/球半|1/1.5,赢,走,胜
1403564.0,232.0,2017/07/08 09:35,794.0,914.0,0-1,0-1,美金杯,CGC,67_洪都拉斯,Honduras,27_哥斯达黎加,Costa Rica,0.0,0.0,,受让平手/半球|-0/-0.5,输,小,负
1327152.0,653.0,2017/06/14 09:35,798.0,794.0,2-2,1-1,北美预选,WCPCA,53_巴拿马,Panama,67_洪都拉斯,Honduras,0.0,0.0,,半球|0.5,赢,大,平
1327155.0,653.0,2017/06/09 10:00,819.0,794.0,3-0,1-0,北美预选,WCPCA,17_墨西哥,Mexico,67_洪都拉斯,Honduras,0.0,0.0,,球半|1.5,输,大,负
1389494.0,1366.0,2017/05/28 07:15,794.0,796.0,2-2,2-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,90_萨尔瓦多,El Salvador,0.0,0.0,,半球|0.5,输,大,平
1327160.0,653.0,2017/03/29 05:00,794.0,914.0,1-1,1-0,北美预选,WCPCA,67_洪都拉斯,Honduras,27_哥斯达黎加,Costa Rica,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1327161.0,653.0,2017/03/25 10:50,797.0,794.0,6-0,3-0,北美预选,WCPCA,25_美国,USA,67_洪都拉斯,Honduras,0.0,0.0,,一球|1,输,大,负
1370179.0,1366.0,2017/03/17 06:00,794.0,5091.0,2-0,1-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,115_尼加拉瓜,Nicaragua,0.0,0.0,,,,,胜
1356438.0,1366.0,2017/02/23 08:00,779.0,794.0,3-1,0-1,国际友谊,INT FRL,68_厄瓜多尔,Ecuador,67_洪都拉斯,Honduras,0.0,0.0,,一球/球半|1/1.5,输,大,负
1354402.0,1366.0,2017/02/17 09:40,794.0,799.0,0-1,0-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,55_牙买加,Jamaica,0.0,0.0,,平手/半球|0/0.5,输,小,负
1339706.0,424.0,2017/01/22 23:59,5092.0,794.0,0-1,0-0,中美杯,UNCAFNC,171_伯利兹,Belize,67_洪都拉斯,Honduras,0.0,0.0,,受让球半/两球|-1.5/-2,输,小,胜
1339704.0,424.0,2017/01/21 07:30,794.0,914.0,1-1,1-0,中美杯,UNCAFNC,67_洪都拉斯,Honduras,27_哥斯达黎加,Costa Rica,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1339702.0,424.0,2017/01/18 10:00,798.0,794.0,0-1,0-1,中美杯,UNCAFNC,53_巴拿马,Panama,67_洪都拉斯,Honduras,0.0,0.0,,半球|0.5,赢,小,胜
1339698.0,424.0,2017/01/16 04:30,796.0,794.0,1-2,1-0,中美杯,UNCAFNC,90_萨尔瓦多,El Salvador,67_洪都拉斯,Honduras,2.0,0.0,,受让半球|-0.5,赢,大,胜
1338963.0,424.0,2017/01/14 05:00,794.0,5091.0,2-1,1-1,中美杯,UNCAFNC,67_洪都拉斯,Honduras,115_尼加拉瓜,Nicaragua,0.0,0.0,,一球|1,走,大,胜
1327166.0,653.0,2016/11/16 06:05,794.0,912.0,3-1,2-0,北美预选,WCPCA,67_洪都拉斯,Honduras,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,一球|1,赢,大,胜
1327168.0,653.0,2016/11/12 04:35,794.0,798.0,0-1,0-1,北美预选,WCPCA,67_洪都拉斯,Honduras,53_巴拿马,Panama,0.0,0.0,,半球|0.5,输,小,负
1327251.0,1366.0,2016/11/03 04:35,794.0,5092.0,5-0,0-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,171_伯利兹,Belize,0.0,0.0,,,,,胜
1321876.0,41.0,2016/10/09 06:00,5092.0,794.0,1-2,1-1,球会友谊,INT CF,171_伯利兹,Belize,67_洪都拉斯,Honduras,0.0,0.0,,,,,胜
1196374.0,653.0,2016/09/07 10:00,819.0,794.0,0-0,0-0,北美预选,WCPCA,17_墨西哥,Mexico,67_洪都拉斯,Honduras,0.0,0.0,,球半|1.5,赢,小,平
1196371.0,653.0,2016/09/03 05:05,794.0,795.0,2-1,1-1,北美预选,WCPCA,67_洪都拉斯,Honduras,95_加拿大,Canada,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1302988.0,1366.0,2016/08/25 05:30,794.0,5091.0,1-0,0-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,115_尼加拉瓜,Nicaragua,0.0,0.0,,,,,胜
1243456.0,1366.0,2016/05/28 07:00,766.0,794.0,1-0,1-0,国际友谊,INT FRL,4_阿根廷,Argentina,67_洪都拉斯,Honduras,0.0,0.0,,两球/两球半|2/2.5,赢,小,负
1196370.0,653.0,2016/03/30 09:05,794.0,796.0,2-0,0-0,北美预选,WCPCA,67_洪都拉斯,Honduras,90_萨尔瓦多,El Salvador,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1196368.0,653.0,2016/03/26 09:05,796.0,794.0,2-2,1-1,北美预选,WCPCA,90_萨尔瓦多,El Salvador,67_洪都拉斯,Honduras,0.0,0.0,,平手|0,走,大,平
1215270.0,1366.0,2016/02/11 10:00,801.0,794.0,3-1,2-1,国际友谊,INT FRL,128_危地马拉,Guatemala,67_洪都拉斯,Honduras,0.0,0.0,,平手|0,输,大,负
1208191.0,1366.0,2016/01/28 09:00,5091.0,794.0,1-3,1-0,国际友谊,INT FRL,115_尼加拉瓜,Nicaragua,67_洪都拉斯,Honduras,1.0,0.0,,受让半球|-0.5,赢,大,胜
1201854.0,1366.0,2015/12/17 05:05,794.0,1991.0,2-0,1-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,181_古巴,cuba,0.0,0.0,,,,,胜
1196365.0,653.0,2015/11/18 05:00,794.0,819.0,0-2,0-0,北美预选,WCPCA,67_洪都拉斯,Honduras,17_墨西哥,Mexico,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1196364.0,653.0,2015/11/14 11:15,795.0,794.0,1-0,1-0,北美预选,WCPCA,95_加拿大,Canada,67_洪都拉斯,Honduras,0.0,0.0,,平手/半球|0/0.5,输,小,负
1192295.0,1366.0,2015/10/14 08:10,794.0,803.0,1-1,1-1,国际友谊,INT FRL,67_洪都拉斯,Honduras,78_南非,South Africa,0.0,0.0,,平手/半球|0/0.5,输,走,平
1192318.0,1366.0,2015/10/09 09:05,794.0,801.0,1-1,1-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,128_危地马拉,Guatemala,0.0,0.0,,半球|0.5,输,小,平
1182530.0,1366.0,2015/09/09 05:00,779.0,794.0,2-0,2-0,国际友谊,INT FRL,68_厄瓜多尔,Ecuador,67_洪都拉斯,Honduras,0.0,0.0,,一球/球半|1/1.5,输,小,负
1180844.0,1366.0,2015/09/05 05:10,777.0,794.0,0-3,0-0,国际友谊,INT FRL,52_委内瑞拉,Venezuela,67_洪都拉斯,Honduras,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1129114.0,232.0,2015/07/14 07:00,909.0,794.0,1-0,1-0,美金杯,CGC,87_海地,Haiti,67_洪都拉斯,Honduras,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1129112.0,232.0,2015/07/11 06:00,794.0,798.0,1-1,0-1,美金杯,CGC,67_洪都拉斯,Honduras,53_巴拿马,Panama,0.0,1.0,,受让平手/半球|-0/-0.5,赢,走,平
1129111.0,232.0,2015/07/08 09:35,797.0,794.0,2-1,1-0,美金杯,CGC,25_美国,USA,67_洪都拉斯,Honduras,0.0,0.0,,一球/球半|1/1.5,赢,大,负
1137700.0,1366.0,2015/07/02 09:35,794.0,819.0,0-0,0-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,17_墨西哥,Mexico,0.0,0.0,,受让一球|-1,赢,小,平
1129522.0,1366.0,2015/06/11 09:00,778.0,794.0,1-0,1-0,国际友谊,INT FRL,2_巴西,Brazil,67_洪都拉斯,Honduras,0.0,0.0,,两球|2,赢,小,负
1129019.0,1366.0,2015/06/07 07:15,776.0,794.0,2-2,1-2,国际友谊,INT FRL,31_巴拉圭,Paraguay,67_洪都拉斯,Honduras,1.0,1.0,,半球/一球|0.5/1,赢,大,平
1128940.0,1366.0,2015/06/01 04:15,794.0,796.0,2-0,2-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,90_萨尔瓦多,El Salvador,1.0,0.0,,平手/半球|0/0.5,赢,小,胜
1111330.0,1366.0,2015/03/30 06:00,794.0,20412.0,3-0,3-0,国际友谊,INT FRL,67_洪都拉斯,Honduras,220_弱鸡,French Guiana,0.0,0.0,,,,,胜
1110337.0,1366.0,2015/03/26 06:00,20412.0,794.0,3-1,2-1,国际友谊,INT FRL,220_弱鸡,French Guiana,67_洪都拉斯,Honduras,0.0,0.0,,,,,负
1092677.0,1366.0,2015/02/12 07:30,777.0,794.0,2-1,1-1,国际友谊,INT FRL,52_委内瑞拉,Venezuela,67_洪都拉斯,Honduras,0.0,1.0,,半球|0.5,输,大,负
1089792.0,1366.0,2015/02/05 09:05,794.0,777.0,2-3,0-1,国际友谊,INT FRL,67_洪都拉斯,Honduras,52_委内瑞拉,Venezuela,0.0,0.0,,,,,负
1069736.0,1366.0,2014/11/18 19:35,896.0,794.0,0-0,0-0,国际友谊,INT FRL,70_中国,China,67_洪都拉斯,Honduras,0.0,0.0,,半球|0.5,赢,小,平
