赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502196.0,1864.0,2018/11/20 01:00,894.0,631.0,,,欧国联,UEFA  NL,136_安道尔,Andorra,131_拉脱维亚,Latvia,0.0,0.0,,,,,
1502193.0,1864.0,2018/11/15 23:00,763.0,631.0,,,欧国联,UEFA  NL,135_哈萨克斯坦,Kazakhstan,131_拉脱维亚,Latvia,0.0,0.0,,,,,
1502192.0,1864.0,2018/10/17 02:45,631.0,901.0,,,欧国联,UEFA  NL,131_拉脱维亚,Latvia,104_格鲁吉亚,Georgia,0.0,0.0,,,,,
1502189.0,1864.0,2018/10/13 23:59,631.0,763.0,,,欧国联,UEFA  NL,131_拉脱维亚,Latvia,135_哈萨克斯坦,Kazakhstan,0.0,0.0,,,,,
1502187.0,1864.0,2018/09/09 23:59,901.0,631.0,,,欧国联,UEFA  NL,104_格鲁吉亚,Georgia,131_拉脱维亚,Latvia,0.0,0.0,,,,,
1502186.0,1864.0,2018/09/07 02:45,631.0,894.0,,,欧国联,UEFA  NL,131_拉脱维亚,Latvia,136_安道尔,Andorra,0.0,0.0,,,,,
1543759.0,1366.0,2018/06/09 23:00,631.0,758.0,1-3,0-1,国际友谊,INT FRL,131_拉脱维亚,Latvia,118_阿塞拜疆,Azerbaijan,0.0,0.0,,平手/半球|0/0.5,输,大,负
1543762.0,668.0,2018/06/05 23:59,905.0,631.0,1-1,0-0,波罗杯,Baltic Cup,147_立陶宛,Lithuania,131_拉脱维亚,Latvia,0.0,0.0,,平手/半球|0/0.5,赢,走,平
1543760.0,668.0,2018/06/02 23:00,631.0,636.0,1-0,0-0,波罗杯,Baltic Cup,131_拉脱维亚,Latvia,88_爱沙尼亚,Estonia,0.0,0.0,,平手|0,赢,小,胜
1521478.0,1366.0,2018/03/25 22:00,5877.0,631.0,1-0,0-0,国际友谊,INT FRL,220_弱鸡,Gibraltar,131_拉脱维亚,Latvia,0.0,0.0,,受让两球半/三球|-2.5/-3,输,小,负
1521955.0,1366.0,2018/03/23 01:00,631.0,754.0,1-1,0-1,国际友谊,INT FRL,131_拉脱维亚,Latvia,97_法罗群岛,Faroe Islands,0.0,0.0,,平手|0,走,小,平
1495980.0,1366.0,2018/02/03 22:30,631.0,898.0,0-1,0-1,国际友谊,INT FRL,131_拉脱维亚,Latvia,59_韩国,Korea Republic,0.0,0.0,,受让一球|-1,走,小,负
1477400.0,1366.0,2017/11/14 02:30,5764.0,631.0,4-3,2-2,国际友谊,INT FRL,178_科索沃,Kosovo,131_拉脱维亚,Latvia,0.0,0.0,,平手|0,输,大,负
1477600.0,1366.0,2017/11/08 01:00,891.0,631.0,2-0,2-0,国际友谊,INT FRL,65_沙特阿拉伯,Saudi Arabia,131_拉脱维亚,Latvia,0.0,0.0,,,,,负
1198438.0,650.0,2017/10/11 02:45,631.0,894.0,4-0,2-0,欧洲预选,WCPEU,131_拉脱维亚,Latvia,136_安道尔,Andorra,0.0,0.0,,球半/两球|1.5/2,赢,大,胜
1198434.0,650.0,2017/10/07 23:59,754.0,631.0,0-0,0-0,欧洲预选,WCPEU,97_法罗群岛,Faroe Islands,131_拉脱维亚,Latvia,0.0,0.0,,平手|0,走,小,平
1198433.0,650.0,2017/09/04 02:45,631.0,648.0,0-3,0-1,欧洲预选,WCPEU,131_拉脱维亚,Latvia,8_瑞士,Switzerland,0.0,0.0,,受让球半|-1.5,输,大,负
