赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502130.0,1864.0,2018/11/21 03:45,644.0,746.0,,,欧国联,UEFA  NL,18_瑞典,Sweden,62_俄罗斯,Russia,0.0,0.0,,,,,
1502129.0,1864.0,2018/11/18 01:00,762.0,644.0,,,欧国联,UEFA  NL,41_土耳其,Turkey,18_瑞典,Sweden,0.0,0.0,,,,,
1502127.0,1864.0,2018/10/12 02:45,746.0,644.0,,,欧国联,UEFA  NL,62_俄罗斯,Russia,18_瑞典,Sweden,0.0,0.0,,,,,
1502126.0,1864.0,2018/09/11 02:45,644.0,762.0,,,欧国联,UEFA  NL,18_瑞典,Sweden,41_土耳其,Turkey,0.0,0.0,,,,,
1482858.0,75.0,2018/06/27 22:00,819.0,644.0,,,世界杯,World Cup,17_墨西哥,Mexico,18_瑞典,Sweden,0.0,0.0,,,,,
1482855.0,75.0,2018/06/24 02:00,650.0,644.0,2-1,0-1,世界杯,World Cup,1_德国,Germany,18_瑞典,Sweden,1.0,0.0,,一球|1,走,大,负
1482854.0,75.0,2018/06/18 20:00,644.0,898.0,1-0,0-0,世界杯,World Cup,18_瑞典,Sweden,59_韩国,Korea Republic,0.0,0.0,,平手/半球|0/0.5,赢,小,胜
1543775.0,1366.0,2018/06/10 01:15,644.0,774.0,0-0,0-0,国际友谊,INT FRL,18_瑞典,Sweden,11_秘鲁,Peru,0.0,0.0,,半球|0.5,输,小,平
1543776.0,1366.0,2018/06/03 01:45,644.0,638.0,0-0,0-0,国际友谊,INT FRL,18_瑞典,Sweden,12_丹麦,Denmark,0.0,0.0,,平手|0,走,小,平
1521980.0,1366.0,2018/03/28 02:30,635.0,644.0,1-0,0-0,国际友谊,INT FRL,40_罗马尼亚,Romania,18_瑞典,Sweden,0.0,0.0,,平手|0,输,小,负
1521052.0,1366.0,2018/03/25 01:00,644.0,780.0,1-2,1-1,国际友谊,INT FRL,18_瑞典,Sweden,10_智利,Chile,0.0,0.0,,平手|0,输,大,负
1490680.0,1366.0,2018/01/12 00:45,644.0,638.0,1-0,0-0,国际友谊,INT FRL,18_瑞典,Sweden,12_丹麦,Denmark,0.0,0.0,,平手|0,赢,小,胜
1489342.0,1366.0,2018/01/08 01:15,644.0,636.0,1-1,0-0,国际友谊,INT FRL,18_瑞典,Sweden,88_爱沙尼亚,Estonia,0.0,0.0,,一球/球半|1/1.5,输,小,平
1472473.0,650.0,2017/11/14 03:45,771.0,644.0,0-0,0-0,欧洲预选,WCPEU,14_意大利,Italy,18_瑞典,Sweden,0.0,0.0,,一球|1,赢,小,平
1472351.0,650.0,2017/11/11 03:45,644.0,771.0,1-0,0-0,欧洲预选,WCPEU,18_瑞典,Sweden,14_意大利,Italy,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1198409.0,650.0,2017/10/11 02:45,646.0,644.0,2-0,2-0,欧洲预选,WCPEU,21_荷兰,Netherlands,18_瑞典,Sweden,0.0,0.0,,半球|0.5,输,小,负
1198404.0,650.0,2017/10/07 23:59,644.0,749.0,8-0,3-0,欧洲预选,WCPEU,18_瑞典,Sweden,84_卢森堡,Luxembourg,0.0,0.0,,三球|3,赢,大,胜
1198401.0,650.0,2017/09/03 23:59,750.0,644.0,0-4,0-3,欧洲预选,WCPEU,93_白俄罗斯,Belarus,18_瑞典,Sweden,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1198399.0,650.0,2017/09/01 02:45,769.0,644.0,3-2,2-2,欧洲预选,WCPEU,42_保加利亚,Bulgaria,18_瑞典,Sweden,0.0,0.0,,受让半球|-0.5,输,大,负
1392397.0,1366.0,2017/06/14 01:45,640.0,644.0,1-1,1-0,国际友谊,INT FRL,58_挪威,Norway,18_瑞典,Sweden,0.0,0.0,,平手|0,走,小,平
1198396.0,650.0,2017/06/10 02:45,644.0,649.0,2-1,1-1,欧洲预选,WCPEU,18_瑞典,Sweden,9_法国,France,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1371587.0,1366.0,2017/03/29 02:45,765.0,644.0,2-3,2-0,国际友谊,INT FRL,3_葡萄牙,Portugal,18_瑞典,Sweden,0.0,0.0,,一球|1,赢,大,胜
1198392.0,650.0,2017/03/26 01:00,644.0,750.0,4-0,1-0,欧洲预选,WCPEU,18_瑞典,Sweden,93_白俄罗斯,Belarus,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1340539.0,1366.0,2017/01/12 23:45,644.0,752.0,6-0,1-0,国际友谊,INT FRL,18_瑞典,Sweden,28_斯洛伐克,Slovakia,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1339031.0,1366.0,2017/01/08 20:45,644.0,809.0,1-2,1-1,国际友谊,INT FRL,18_瑞典,Sweden,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让半球/一球|-0.5/-1,输,大,负
1328256.0,1366.0,2016/11/16 02:45,745.0,644.0,0-2,0-1,国际友谊,INT FRL,54_匈牙利,Hungary,18_瑞典,Sweden,0.0,0.0,,平手|0,赢,小,胜
1198391.0,650.0,2016/11/12 03:45,649.0,644.0,2-1,0-0,欧洲预选,WCPEU,9_法国,France,18_瑞典,Sweden,0.0,0.0,,球半|1.5,赢,大,负
1198386.0,650.0,2016/10/11 02:45,644.0,769.0,3-0,2-0,欧洲预选,WCPEU,18_瑞典,Sweden,42_保加利亚,Bulgaria,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1198385.0,650.0,2016/10/08 02:45,749.0,644.0,0-1,0-0,欧洲预选,WCPEU,84_卢森堡,Luxembourg,18_瑞典,Sweden,1.0,0.0,,受让球半|-1.5,输,小,胜
1198380.0,650.0,2016/09/07 02:45,644.0,646.0,1-1,1-0,欧洲预选,WCPEU,18_瑞典,Sweden,21_荷兰,Netherlands,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,平
1201942.0,67.0,2016/06/23 03:00,644.0,645.0,0-1,0-0,欧洲杯,EURO  Cup,18_瑞典,Sweden,5_比利时,Belgium,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,负
1201945.0,67.0,2016/06/17 21:00,771.0,644.0,1-0,0-0,欧洲杯,EURO  Cup,14_意大利,Italy,18_瑞典,Sweden,0.0,0.0,,半球|0.5,输,小,负
1201874.0,67.0,2016/06/13 23:59,644.0,630.0,1-1,0-0,欧洲杯,EURO  Cup,18_瑞典,Sweden,32_爱尔兰,Ireland,0.0,0.0,,平手|0,走,走,平
1244114.0,1366.0,2016/06/05 22:00,644.0,7384.0,3-0,1-0,国际友谊,INT FRL,18_瑞典,Sweden,19_威尔士,Wales,0.0,0.0,,半球|0.5,赢,大,胜
1243471.0,1366.0,2016/05/31 01:30,644.0,632.0,0-0,0-0,国际友谊,INT FRL,18_瑞典,Sweden,64_斯洛文尼亚,Slovenia,0.0,0.0,,半球/一球|0.5/1,输,小,平
1229361.0,1366.0,2016/03/30 02:30,644.0,747.0,1-1,1-1,国际友谊,INT FRL,18_瑞典,Sweden,48_捷克,Czech,0.0,0.0,,平手/半球|0/0.5,输,小,平
1228657.0,1366.0,2016/03/25 02:45,762.0,644.0,2-1,1-0,国际友谊,INT FRL,41_土耳其,Turkey,18_瑞典,Sweden,0.0,0.0,,半球|0.5,输,大,负
1203617.0,1366.0,2016/01/10 22:45,644.0,736.0,3-0,1-0,国际友谊,INT FRL,18_瑞典,Sweden,68_芬兰,Finland,0.0,0.0,,平手|0,赢,大,胜
1203616.0,1366.0,2016/01/06 23:45,644.0,636.0,1-1,0-0,国际友谊,INT FRL,18_瑞典,Sweden,88_爱沙尼亚,Estonia,0.0,0.0,,一球|1,输,小,平
1194894.0,67.0,2015/11/18 03:45,638.0,644.0,2-2,0-1,欧洲杯,EURO  Cup,12_丹麦,Denmark,18_瑞典,Sweden,0.0,0.0,,平手/半球|0/0.5,赢,大,平
1194898.0,67.0,2015/11/15 03:45,644.0,638.0,2-1,1-0,欧洲杯,EURO  Cup,18_瑞典,Sweden,12_丹麦,Denmark,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
975123.0,67.0,2015/10/12 23:59,644.0,751.0,2-0,1-0,欧洲杯,EURO  Cup,18_瑞典,Sweden,166_摩尔多瓦,Moldova,0.0,0.0,,两球|2,走,小,胜
975127.0,67.0,2015/10/10 02:45,764.0,644.0,0-2,0-1,欧洲杯,EURO  Cup,182_列支敦士登,Liechtenstein,18_瑞典,Sweden,0.0,0.0,,受让两球/两球半|-2/-2.5,输,小,胜
975131.0,67.0,2015/09/09 02:45,644.0,647.0,1-4,0-2,欧洲杯,EURO  Cup,18_瑞典,Sweden,29_奥地利,Austria,0.0,0.0,,平手/半球|0/0.5,输,大,负
975134.0,67.0,2015/09/05 23:59,746.0,644.0,1-0,1-0,欧洲杯,EURO  Cup,62_俄罗斯,Russia,18_瑞典,Sweden,0.0,0.0,,平手/半球|0/0.5,输,小,负
975135.0,67.0,2015/06/15 02:45,644.0,5282.0,3-1,3-0,欧洲杯,EURO  Cup,18_瑞典,Sweden,46_黑山,Montenegro,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1128827.0,1366.0,2015/06/09 02:00,640.0,644.0,0-0,0-0,国际友谊,INT FRL,58_挪威,Norway,18_瑞典,Sweden,0.0,0.0,,平手|0,走,小,平
1109756.0,1366.0,2015/04/01 01:30,644.0,783.0,3-1,2-1,国际友谊,INT FRL,18_瑞典,Sweden,34_伊朗,Iran,0.0,0.0,,一球|1,赢,大,胜
975139.0,67.0,2015/03/28 03:45,751.0,644.0,0-2,0-0,欧洲杯,EURO  Cup,166_摩尔多瓦,Moldova,18_瑞典,Sweden,0.0,1.0,,受让一球/球半|-1/-1.5,赢,小,胜
1081471.0,1366.0,2015/01/20 02:30,644.0,736.0,0-1,0-0,国际友谊,INT FRL,18_瑞典,Sweden,68_芬兰,Finland,0.0,0.0,,平手/半球|0/0.5,输,小,负
1080636.0,1366.0,2015/01/16 01:30,644.0,809.0,2-0,0-0,国际友谊,INT FRL,18_瑞典,Sweden,61_科特迪瓦,Cote D Ivoire,0.0,0.0,,受让半球/一球|-0.5/-1,赢,小,胜
1069718.0,1366.0,2014/11/19 04:00,649.0,644.0,1-0,0-0,国际友谊,INT FRL,9_法国,France,18_瑞典,Sweden,0.0,0.0,,一球|1,走,小,负
