赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502183.0,1864.0,2018/11/21 03:45,642.0,905.0,,,欧国联,UEFA  NL,37_塞尔维亚,Serbia,147_立陶宛,Lithuania,0.0,0.0,,,,,
1502181.0,1864.0,2018/11/17 22:00,642.0,5282.0,,,欧国联,UEFA  NL,37_塞尔维亚,Serbia,46_黑山,Montenegro,0.0,0.0,,,,,
1502179.0,1864.0,2018/10/14 21:00,635.0,642.0,,,欧国联,UEFA  NL,40_罗马尼亚,Romania,37_塞尔维亚,Serbia,0.0,0.0,,,,,
1502177.0,1864.0,2018/10/12 02:45,5282.0,642.0,,,欧国联,UEFA  NL,46_黑山,Montenegro,37_塞尔维亚,Serbia,0.0,0.0,,,,,
1502175.0,1864.0,2018/09/11 02:45,642.0,635.0,,,欧国联,UEFA  NL,37_塞尔维亚,Serbia,40_罗马尼亚,Romania,0.0,0.0,,,,,
1502173.0,1864.0,2018/09/08 02:45,905.0,642.0,,,欧国联,UEFA  NL,147_立陶宛,Lithuania,37_塞尔维亚,Serbia,0.0,0.0,,,,,
1482851.0,75.0,2018/06/28 02:00,642.0,778.0,,,世界杯,World Cup,37_塞尔维亚,Serbia,2_巴西,Brazil,0.0,0.0,,,,,
1482850.0,75.0,2018/06/23 02:00,642.0,648.0,1-2,1-0,世界杯,World Cup,37_塞尔维亚,Serbia,8_瑞士,Switzerland,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1482847.0,75.0,2018/06/17 20:00,914.0,642.0,0-1,0-0,世界杯,World Cup,27_哥斯达黎加,Costa Rica,37_塞尔维亚,Serbia,0.0,0.0,,受让半球|-0.5,赢,小,胜
1548653.0,1366.0,2018/06/09 23:59,642.0,773.0,5-1,4-0,国际友谊,INT FRL,37_塞尔维亚,Serbia,49_玻利维亚,Bolivia,0.0,0.0,,球半|1.5,赢,大,胜
1543811.0,1366.0,2018/06/05 02:00,642.0,780.0,0-1,0-0,国际友谊,INT FRL,37_塞尔维亚,Serbia,10_智利,Chile,0.0,0.0,,半球/一球|0.5/1,输,小,负
1521507.0,1366.0,2018/03/28 03:00,789.0,642.0,0-2,0-0,国际友谊,INT FRL,51_尼日利亚,Nigeria,37_塞尔维亚,Serbia,0.0,0.0,,平手|0,赢,小,胜
1518988.0,1366.0,2018/03/24 03:35,642.0,813.0,1-2,1-2,国际友谊,INT FRL,37_塞尔维亚,Serbia,39_摩洛哥,Morocco,0.0,0.0,,半球|0.5,输,大,负
1477402.0,1366.0,2017/11/14 19:00,898.0,642.0,1-1,0-0,国际友谊,INT FRL,59_韩国,Korea Republic,37_塞尔维亚,Serbia,0.0,0.0,,平手|0,走,小,平
1476838.0,1366.0,2017/11/10 19:35,896.0,642.0,0-2,0-1,国际友谊,INT FRL,70_中国,China,37_塞尔维亚,Serbia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
