赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1197770.0,652.0,2017/10/11 07:30,779.0,766.0,1-3,1-2,南美预选,WCPSA,68_厄瓜多尔,Ecuador,4_阿根廷,Argentina,0.0,0.0,,受让一球/球半|-1/-1.5,输,大,负
1197766.0,652.0,2017/10/06 07:30,780.0,779.0,2-1,1-0,南美预选,WCPSA,10_智利,Chile,68_厄瓜多尔,Ecuador,0.0,0.0,,一球/球半|1/1.5,赢,大,负
1197761.0,652.0,2017/09/06 05:00,779.0,774.0,1-2,0-0,南美预选,WCPSA,68_厄瓜多尔,Ecuador,11_秘鲁,Peru,0.0,1.0,,一球|1,输,大,负
1197758.0,652.0,2017/09/01 08:45,778.0,779.0,2-0,0-0,南美预选,WCPSA,2_巴西,Brazil,68_厄瓜多尔,Ecuador,0.0,0.0,,球半|1.5,输,小,负
1427905.0,1366.0,2017/07/27 08:30,779.0,912.0,3-1,1-1,国际友谊,INT FRL,68_厄瓜多尔,Ecuador,80_特立尼达和多巴哥,Trinidad   Tobago,0.0,0.0,,球半|1.5,赢,大,胜
1392400.0,1366.0,2017/06/14 08:00,779.0,796.0,3-0,1-0,国际友谊,INT FRL,68_厄瓜多尔,Ecuador,90_萨尔瓦多,El Salvador,0.0,1.0,,球半/两球|1.5/2,赢,走,胜
1391091.0,1366.0,2017/06/09 08:30,779.0,777.0,1-1,1-1,国际友谊,INT FRL,68_厄瓜多尔,Ecuador,52_委内瑞拉,Venezuela,0.0,1.0,,半球|0.5,输,小,平
1197751.0,652.0,2017/03/29 05:00,779.0,775.0,0-2,0-2,南美预选,WCPSA,68_厄瓜多尔,Ecuador,13_哥伦比亚,Colombia,1.0,0.0,,平手/半球|0/0.5,输,小,负
1197747.0,652.0,2017/03/24 07:00,776.0,779.0,2-1,1-0,南美预选,WCPSA,31_巴拉圭,Paraguay,68_厄瓜多尔,Ecuador,0.0,0.0,,平手/半球|0/0.5,输,大,负
1356438.0,1366.0,2017/02/23 08:00,779.0,794.0,3-1,0-1,国际友谊,INT FRL,68_厄瓜多尔,Ecuador,67_洪都拉斯,Honduras,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1197739.0,652.0,2016/11/16 05:00,779.0,777.0,3-0,0-0,南美预选,WCPSA,68_厄瓜多尔,Ecuador,52_委内瑞拉,Venezuela,0.0,0.0,,一球/球半|1/1.5,赢,大,胜
1197737.0,652.0,2016/11/11 07:00,767.0,779.0,2-1,2-1,南美预选,WCPSA,22_乌拉圭,Uruguay,68_厄瓜多尔,Ecuador,0.0,0.0,,半球/一球|0.5/1,输,大,负
1197731.0,652.0,2016/10/12 04:00,773.0,779.0,2-2,2-0,南美预选,WCPSA,49_玻利维亚,Bolivia,68_厄瓜多尔,Ecuador,0.0,1.0,,受让半球|-0.5,输,大,平
1197724.0,652.0,2016/10/07 05:00,779.0,780.0,3-0,2-0,南美预选,WCPSA,68_厄瓜多尔,Ecuador,10_智利,Chile,0.0,0.0,,平手/半球|0/0.5,赢,大,胜
1197720.0,652.0,2016/09/07 10:15,774.0,779.0,2-1,1-1,南美预选,WCPSA,11_秘鲁,Peru,68_厄瓜多尔,Ecuador,0.0,1.0,,平手/半球|0/0.5,输,大,负
1197717.0,652.0,2016/09/02 05:00,779.0,778.0,0-3,0-0,南美预选,WCPSA,68_厄瓜多尔,Ecuador,2_巴西,Brazil,1.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1246966.0,224.0,2016/06/17 09:30,797.0,779.0,2-1,1-0,美洲杯,AMEC,25_美国,USA,68_厄瓜多尔,Ecuador,1.0,1.0,,平手/半球|0/0.5,输,大,负
1223659.0,224.0,2016/06/13 06:30,779.0,909.0,4-0,2-0,美洲杯,AMEC,68_厄瓜多尔,Ecuador,87_海地,Haiti,0.0,0.0,,球半|1.5,赢,大,胜
1223657.0,224.0,2016/06/09 10:00,779.0,774.0,2-2,1-2,美洲杯,AMEC,68_厄瓜多尔,Ecuador,11_秘鲁,Peru,1.0,0.0,,平手/半球|0/0.5,输,大,平
