赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1502106.0,1864.0,2018/11/19 03:45,648.0,645.0,,,欧国联,UEFA  NL,8_瑞士,Switzerland,5_比利时,Belgium,0.0,0.0,,,,,
1502104.0,1864.0,2018/10/16 02:45,756.0,648.0,,,欧国联,UEFA  NL,20_冰岛,Iceland,8_瑞士,Switzerland,0.0,0.0,,,,,
1502103.0,1864.0,2018/10/13 02:45,645.0,648.0,,,欧国联,UEFA  NL,5_比利时,Belgium,8_瑞士,Switzerland,0.0,0.0,,,,,
1502101.0,1864.0,2018/09/09 23:59,648.0,756.0,,,欧国联,UEFA  NL,8_瑞士,Switzerland,20_冰岛,Iceland,0.0,0.0,,,,,
1482852.0,75.0,2018/06/28 02:00,648.0,914.0,,,世界杯,World Cup,8_瑞士,Switzerland,27_哥斯达黎加,Costa Rica,0.0,0.0,,,,,
1482850.0,75.0,2018/06/23 02:00,642.0,648.0,1-2,1-0,世界杯,World Cup,37_塞尔维亚,Serbia,8_瑞士,Switzerland,0.0,0.0,,受让平手/半球|-0/-0.5,赢,大,胜
1482848.0,75.0,2018/06/18 02:00,778.0,648.0,1-1,1-0,世界杯,World Cup,2_巴西,Brazil,8_瑞士,Switzerland,0.0,0.0,,一球/球半|1/1.5,赢,小,平
1543777.0,1366.0,2018/06/09 01:00,648.0,903.0,2-0,1-0,国际友谊,INT FRL,8_瑞士,Switzerland,56_日本,Japan,0.0,0.0,,半球/一球|0.5/1,赢,小,胜
1543784.0,1366.0,2018/06/04 03:00,772.0,648.0,1-1,1-0,国际友谊,INT FRL,6_西班牙,Spain,8_瑞士,Switzerland,0.0,0.0,,球半|1.5,赢,小,平
1521493.0,1366.0,2018/03/28 01:00,648.0,798.0,6-0,4-0,国际友谊,INT FRL,8_瑞士,Switzerland,53_巴拿马,Panama,0.0,0.0,,球半|1.5,赢,大,胜
1518989.0,1366.0,2018/03/24 02:00,757.0,648.0,0-1,0-0,国际友谊,INT FRL,47_希腊,Greece,8_瑞士,Switzerland,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1472474.0,650.0,2017/11/13 01:00,648.0,759.0,0-0,0-0,欧洲预选,WCPEU,8_瑞士,Switzerland,25_北爱尔兰,Northern Ireland,0.0,0.0,,一球|1,输,小,平
1472352.0,650.0,2017/11/10 03:45,759.0,648.0,0-1,0-0,欧洲预选,WCPEU,25_北爱尔兰,Northern Ireland,8_瑞士,Switzerland,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1198437.0,650.0,2017/10/11 02:45,765.0,648.0,2-0,1-0,欧洲预选,WCPEU,3_葡萄牙,Portugal,8_瑞士,Switzerland,0.0,0.0,,半球/一球|0.5/1,输,小,负
1198435.0,650.0,2017/10/08 02:45,648.0,745.0,5-2,3-0,欧洲预选,WCPEU,8_瑞士,Switzerland,54_匈牙利,Hungary,0.0,0.0,,球半|1.5,赢,大,胜
1198433.0,650.0,2017/09/04 02:45,631.0,648.0,0-3,0-1,欧洲预选,WCPEU,131_拉脱维亚,Latvia,8_瑞士,Switzerland,0.0,0.0,,受让球半|-1.5,赢,大,胜
1198429.0,650.0,2017/09/01 02:45,648.0,894.0,3-0,1-0,欧洲预选,WCPEU,8_瑞士,Switzerland,136_安道尔,Andorra,0.0,0.0,,四球/四球半|4/4.5,输,小,胜
1198426.0,650.0,2017/06/10 02:45,754.0,648.0,0-2,0-1,欧洲预选,WCPEU,97_法罗群岛,Faroe Islands,8_瑞士,Switzerland,0.0,0.0,,受让球半/两球|-1.5/-2,赢,小,胜
1389646.0,1366.0,2017/06/02 02:45,648.0,750.0,1-0,1-0,国际友谊,INT FRL,8_瑞士,Switzerland,93_白俄罗斯,Belarus,0.0,0.0,,一球/球半|1/1.5,输,小,胜
