赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1482870.0,75.0,2018/06/28 22:00,815.0,775.0,,,世界杯,World Cup,24_塞内加尔,Senegal,13_哥伦比亚,Colombia,0.0,0.0,,,,,
1482868.0,75.0,2018/06/25 02:00,637.0,775.0,0-3,0-1,世界杯,World Cup,7_波兰,Poland,13_哥伦比亚,Colombia,0.0,0.0,,平手|0,赢,大,胜
1482866.0,75.0,2018/06/19 20:00,775.0,903.0,1-2,1-1,世界杯,World Cup,13_哥伦比亚,Colombia,56_日本,Japan,1.0,0.0,,半球|0.5,输,大,负
1547288.0,1366.0,2018/06/02 03:20,735.0,775.0,0-0,0-0,国际友谊,INT FRL,30_埃及,Egypt,13_哥伦比亚,Colombia,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1521502.0,1366.0,2018/03/28 03:00,775.0,913.0,0-0,0-0,国际友谊,INT FRL,13_哥伦比亚,Colombia,36_澳大利亚,Australia,0.0,0.0,,一球|1,输,小,平
1518992.0,1366.0,2018/03/24 04:00,649.0,775.0,2-3,2-1,国际友谊,INT FRL,9_法国,France,13_哥伦比亚,Colombia,0.0,0.0,,半球/一球|0.5/1,赢,大,胜
1477403.0,1366.0,2017/11/14 19:35,896.0,775.0,0-4,0-1,国际友谊,INT FRL,70_中国,China,13_哥伦比亚,Colombia,0.0,0.0,,受让半球/一球|-0.5/-1,赢,大,胜
1477013.0,1366.0,2017/11/10 19:00,898.0,775.0,2-1,1-0,国际友谊,INT FRL,59_韩国,Korea Republic,13_哥伦比亚,Colombia,0.0,0.0,,受让平手/半球|-0/-0.5,输,大,负
1197771.0,652.0,2017/10/11 07:30,774.0,775.0,1-1,0-0,南美预选,WCPSA,11_秘鲁,Peru,13_哥伦比亚,Colombia,0.0,0.0,,平手|0,走,小,平
1197765.0,652.0,2017/10/06 07:30,775.0,776.0,1-2,0-0,南美预选,WCPSA,13_哥伦比亚,Colombia,31_巴拉圭,Paraguay,0.0,0.0,,一球|1,输,大,负
1197762.0,652.0,2017/09/06 04:30,775.0,778.0,1-1,0-1,南美预选,WCPSA,13_哥伦比亚,Colombia,2_巴西,Brazil,0.0,0.0,,平手|0,走,小,平
1197756.0,652.0,2017/09/01 05:00,777.0,775.0,0-0,0-0,南美预选,WCPSA,52_委内瑞拉,Venezuela,13_哥伦比亚,Colombia,0.0,0.0,,受让半球/一球|-0.5/-1,输,小,平
1392398.0,1366.0,2017/06/14 02:30,793.0,775.0,0-4,0-2,国际友谊,INT FRL,45_喀麦隆,Cameroon,13_哥伦比亚,Colombia,1.0,0.0,,受让半球|-0.5,赢,大,胜
1390583.0,1366.0,2017/06/08 03:30,772.0,775.0,2-2,1-1,国际友谊,INT FRL,6_西班牙,Spain,13_哥伦比亚,Colombia,0.0,0.0,,一球|1,赢,大,平
1197751.0,652.0,2017/03/29 05:00,779.0,775.0,0-2,0-2,南美预选,WCPSA,68_厄瓜多尔,Ecuador,13_哥伦比亚,Colombia,1.0,0.0,,平手/半球|0/0.5,赢,小,胜
1197745.0,652.0,2017/03/24 04:30,775.0,773.0,1-0,0-0,南美预选,WCPSA,13_哥伦比亚,Colombia,49_玻利维亚,Bolivia,0.0,0.0,,球半/两球|1.5/2,输,小,胜
1343026.0,1366.0,2017/01/26 07:45,778.0,775.0,1-0,0-0,国际友谊,INT FRL,2_巴西,Brazil,13_哥伦比亚,Colombia,0.0,0.0,,半球|0.5,输,小,负
1197741.0,652.0,2016/11/16 07:30,766.0,775.0,3-0,2-0,南美预选,WCPSA,4_阿根廷,Argentina,13_哥伦比亚,Colombia,0.0,0.0,,一球|1,输,大,负
1197736.0,652.0,2016/11/11 04:30,775.0,780.0,0-0,0-0,南美预选,WCPSA,13_哥伦比亚,Colombia,10_智利,Chile,0.0,0.0,,半球|0.5,输,小,平
1197732.0,652.0,2016/10/12 04:30,775.0,767.0,2-2,1-1,南美预选,WCPSA,13_哥伦比亚,Colombia,22_乌拉圭,Uruguay,0.0,0.0,,平手/半球|0/0.5,输,大,平
1197726.0,652.0,2016/10/07 07:30,776.0,775.0,0-1,0-0,南美预选,WCPSA,31_巴拉圭,Paraguay,13_哥伦比亚,Colombia,0.0,0.0,,受让平手/半球|-0/-0.5,赢,小,胜
1197723.0,652.0,2016/09/07 08:45,778.0,775.0,2-1,1-1,南美预选,WCPSA,2_巴西,Brazil,13_哥伦比亚,Colombia,0.0,0.0,,半球/一球|0.5/1,输,大,负
1197715.0,652.0,2016/09/02 04:30,775.0,777.0,2-0,1-0,南美预选,WCPSA,13_哥伦比亚,Colombia,52_委内瑞拉,Venezuela,0.0,2.0,,一球|1,赢,小,胜
1252739.0,224.0,2016/06/26 08:00,797.0,775.0,0-1,0-1,美洲杯,AMEC,25_美国,USA,13_哥伦比亚,Colombia,1.0,1.0,,受让平手/半球|-0/-0.5,赢,小,胜
1248782.0,224.0,2016/06/23 08:05,775.0,780.0,0-2,0-2,美洲杯,AMEC,13_哥伦比亚,Colombia,10_智利,Chile,1.0,0.0,,平手|0,输,小,负
1246971.0,224.0,2016/06/18 08:00,774.0,775.0,0-0,0-0,美洲杯,AMEC,11_秘鲁,Peru,13_哥伦比亚,Colombia,0.0,0.0,"90,0-0;;;2-4;2",受让半球|-0.5,输,小,平
1223653.0,224.0,2016/06/12 09:20,775.0,914.0,2-3,1-2,美洲杯,AMEC,13_哥伦比亚,Colombia,27_哥斯达黎加,Costa Rica,0.0,0.0,,半球/一球|0.5/1,输,大,负
